rating,date,content,visit_time,reservation,wait_time
5,2026년 7월 12일 일요일,"잠봉, 잠봉바질 추천!!!!!!",아침에 방문,예약 없이 이용,바로 입장
4.5,2026년 7월 11일 토요일,👍🏻👍🏻👍🏻,저녁에 방문,,
5,2026년 7월 11일 토요일,🥖 성심당 만만세!!,저녁에 방문,,
5,2026년 7월 11일 토요일,굿ㅎㅎ,저녁에 방문,예약 없이 이용,10분 이내
5,2026년 7월 11일 토요일,토요일 13:30쯤 도착해서 10분 정도 기다리고 들어왔어요! 계산 줄이 복잡해서 정신 없었지만 빵 맛있어요👍🏻,점심에 방문,,
5,2026년 7월 11일 토요일,잔뜩 쟁여오고 싶은 성심당🥐,점심에 방문,예약 없이 이용,30분 이내
4.5,2026년 7월 10일 금요일,학창시절에 약속시간 뜨면 들러 시식빵 먹던 사람이라 이렇게 잘되는 걸 보니 괜스레 기쁩니다 😀 요즘도 종종 들르는데 가성비 좋게 다양한 빵을 맛볼 수 있어서 좋아요.,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 9일 목요일,성심당 본점 갈때마다 입구에서 본 황금식빵이 궁금해서 샀어요 야끼소바빵도 맛이 궁금해서 함께 샀는데 둘다 부드럽고 느므 맛있네요 간단한 한끼인데 든든하고 맛있어요 황금식빵은 샐러드랑 곁들어 발사믹소스에 살짝 찍어먹었는데 식빵이 부드럽고 맛있어서인지 궁합이 맞아 맛있게 잘 먹었어요 추천해요,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 9일 목요일,성심당 여행 간 김에 대전 구경 잘 했습니다,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 9일 목요일,"성심당 빵의 놀라운 점은, 막상 샀을 땐 많다고 느끼지만 잘라서 데워놓으면 물도 한 잔 마시지않고 빵을 흡입하게 된다는 점이다",점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 8일 수요일,성심당 본점에 들러 케이준치킨샐러드 단팥빵 야채고로게 쑥떡앙빵 샀어요 역시 가성비갑 성심당 빵이네요 처음 사 본 케이준치킨샐러드 구성이 알차고 넘 맛있어요 단팥빵이랑 야채고로게 쑥떡앙빵도 느므 맛있게 잘 먹었어요 성심당 들를 때마다 고른 빵들이 모두 만족하게 되네요 오늘 하루 성심당 빵 덕분에 행복한 한끼 잘 먹었어요 성심당의 친절함 맛 정성에 감사해요 성심당 빵이 맛있고 정성이 가득이어서 대박 추천해요!!! 번창하세요 또 방문할게요,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 8일 수요일,최고입니당,저녁에 방문,예약 없이 이용,10분 이내
5,2026년 7월 8일 수요일,성심당  왜 유명한지 한번에 알 것 같아요 🥹🩷,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 8일 수요일,샌드위치 맛있어용 더살껄..@@,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 8일 수요일,어후 평일인데도 계속 웨이팅줄서도 난리도 아니였네요직원분들 고생 많으십니다 덕분에 맛있는빵 많이 사들고 가네요,점심에 방문,예약 없이 이용,30분 이내
5,2026년 7월 7일 화요일,올해 마지막 망고롤케이크 라서 부랴부랴 왔어요~말차롤도 맛있고 생망고듬뿍 이라 더 맛잇ㄱ어요 ㅎㅎ,저녁에 방문,예약 없이 이용,10분 이내
5,2026년 7월 7일 화요일,말이 필요합니까 .. 이미 업계 탑임에도 불구하고 꾸준히 메뉴개발하시는게 감사할 따름샌정에서 개인적으로 토마토레지아노가 가장 취저불맛이 나는 치즈와 토마토의 조합바게트 안에 부드러운 토핑 가득 또 먹고싶다대왕 소세지빵도 가성비 굳 토마토 소스 좋아하면 무족권 극호,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 7일 화요일,명란바게트 크고가성비좋고  너무 맛있어요 빵이랑 칼국수로 정신건강좋아진다는 대전! 성심당빵투어 고고씽기분 업 되는거 맞네요 ㅎ올리브치아바타도 질긴듯한데   꼬소해요,점심에 방문,,30분 이내
5,2026년 7월 7일 화요일,빵 종류가 다양한 성심당 본점🥊평일 낮에도 웨이팅 필수이다🏅더워서 기다리는게 힘들어 고역이다🎁 햇빛가림막이라던가 아니면 초대형 선풍기라도 돌려줘서 더위를 해결해줬으면하는 바램이 있다🎟 이날은 모찌모찌식빵과 성심당의 시그니처 메뉴중 하나인 튀김 소보루를 재구매하였으며 끼니 대용으로 탁월한 성심당표 삼각김밥인 찹쌀 주먹밥으로 차에서 점심을 해결하였다🎫 직원의 안내사항중 하나는 당일섭취가 불가능하면 냉동으로 3일까지는 보관이 가능하다고한다.,점심에 방문,예약 없이 이용,30분 이내
5,2026년 7월 7일 화요일,망고케이크 맛있어요,점심에 방문,,
1.5,2026년 7월 7일 화요일,케익부띠끄에서 계산하시는3번에 근무하시는분7월7일 오전11시30분대에 엄정 불친절해서 완전 기분상했어요~~여기 오는 모든 사람이 메뉴나 그밖에 주문.대기하는곳이 익숙한것도 아닌데 엄청 저한테불친절하셨어요ㅠㅠ 직원교육도 제대로 해주셔야할거같아요,점심에 방문,예약 없이 이용,30분 이내
5,2026년 7월 6일 월요일,"처음으로 간 대전소금빵이랑 크로와상,부추빵 맛있으나 매장에 너무 오픈 진열이라서 먼지 묻을거 같은데 포장이나 뚜껑 사용하면 좋을거 같음",저녁에 방문,,
4.5,2026년 7월 6일 월요일,"은행동에 나갔다가 들렀어요.평일이라 생각보다는 대기시간이 길지 않아서 좋았어요.구매내역썬쎗폴 4,500초코튀김소보로 2,000가격이 정말 저렴해요.둘 다 처음 구매 했는 데 너무 달아서 제 취향은 아니었어요.초코와 소보로가 만나면 어떤 느낌일까 궁금해서 구매했는 데 먹어보니 재구매는 안 할 것 같아요.평일이라 대기줄도 길진 않았지만 매장안에는 사람들이 너무 많고 시끄러워서 재방문도 안 할 것 같아요.#오늘클립챌린지",점심에 방문,예약 없이 이용,30분 이내
