별점,날짜,리뷰
1.0,2023.11.04.,줄 없어도 다신 먹고싶지 않은 맛.. 40분 웨이팅하고 들어갔는데 일하시는 분들 전부 소리 지르며 불친절한 건 기본이고 (심지어 한국어 서툰 외국 관광객들에게도 똑같이 틱틱대서 대신 창피했음) 인원수 보고 중자 대자 자기들이 거의 강매하듯이 주...
5.0,2023.11.02.,"줄서있는거보면 아찔한데 생각보다 기다릴만함
회전율빠름 
맛있음……….. 양도 많음
회사원 ..."
5.0,2023.10.25.,별관에서 감자탕 (소)을 참 맛있게 먹었습니다. 맛이 슴슴한편으로 내입맛에는 적격이네요.  김치와 깍두기가 맛있네요.  바쁘지만 스태프들이 잘 서비스해주네요.
3.0,2023.10.14.,무난함.근데 차이니즈피플 겁나 많음
4.0,2023.09.03.,소문은 진짜였다! 😊
5.0,2023.08.30.,"짱맛 🤤

수제비도 먹고 볶음밥도 먹어서 배터질 뻔 ㅇ.ㅇ!!
..."
5.0,2023.08.23.,매주 출석하고싶은 맛 하지만 그럴수없는 웨이팅😂
1.0,2023.08.22.,"더 소문났음 좋겠어요 아예 갈 필요도 없게!!♥
컵에 립스틱 자국 있어서 깜짝 놀랬어요 설거지를 안하셨나봐요ㅎㅎ 물 아끼는 모습 너무 좋아요^^
셋이서 갔는데 ..."
4.0,2023.08.10.,"근방에서 구수하게 먹고싶다면 한번쯤.
고기가 야들야들, 국물이 정석적.
직접 떠주는 수제비, ..."
2.0,2023.08.07.,"그냥 그래요.. 웨이팅해서 먹을 맛은 아님.. 
니맛도 내맛도 아닌 듯"
5.0,2023.08.07.,"저녁 10시에 30분 거리를 운전해서 도착.
운이 좋아서 약간의 웨이팅 후 입장(입장전 제 뒤로 웨이팅줄이 약 20명).
단점은 취객으..."
3.0,2023.07.11.,"맛은 평범한데 왜 웨이팅 있는지 모르겠네요.
무엇보다 양이 너무 적어요. 
뼈가 너무 거대한데 먹을건 별로 없음. 
저는 참고로 일반 식사..."
4.0,2023.06.30.,셋이서 3차로 가볍게 소자 주문하니깐 되게 인색함.. 술 많이 팔아줬는데 실망스러운 응대
3.0,2023.06.28.,줄 서는 식당
4.0,2023.06.27.,자극적인 msg맛 없는 국물맛이 찐이다. 맛을 평기할 때 기준이 될지 모르겠지만 뼈가 이미 발골이 너무 잘되어 있어서 뜯어 먹을것이 없다? ….
5.0,2023.06.14.,23시 이후 성수의 가장 핫플레이스. 맛과 양도 푸짐합니다.
3.0,2023.06.12.,"감자탕 말고 감자국을 먹어볼 걸 그랬다 싶긴하지만
다음에 방문할 일이 있을진 모르겠습니다."
4.0,2023.06.07.,살코기가 많고 정말 부드러운 편입니다. 낮술하기 좋은 분위기입니다.
3.0,2023.06.07.,그냥 평범한데 줄 서는 거 노이해
5.0,2023.06.06.,예전에는 그냥 그랬던 거 같은데 이번에는 너무 맛있게 잘 먹었어요혼밥
1.0,2023.05.31.,"몇년전에 비해 지금은 너무 변해버린 맛...
그동안 정말 맛있게 먹은 나의 소울푸드였는데 ㅠㅠ
오늘로써 내 소울푸드 하나 잃었...ㅠㅠ 
항상 일반 감자국을 먹는데,
..."
1.0,2023.05.24.,감자도리인 나로선 이 줄 이해불가
4.0,2023.05.21.,"일요일 밤 10시에 웨이팅이라니 깜짝 놀랬어요!
뭔가 감자탕계의 평양냉면 같은 맛이에요.
처음엔 싱거운거 같다가 계속 먹게돼요!!
고기 살도..."
4.0,2023.05.20.,맛있어요오 웨이팅 있긴한데 금방 빠져서 기다릴만 했어용 감자탕은 맛없없!
5.0,2023.05.05.,웨이팅한 시간이 전혀 아깝지 않은 맛👍
1.0,2023.05.03.,ㅕ여기를 왜 줄서서 먹어??
4.0,2023.05.03.,맛있으나 30분~1시간씩 기다려서 먹을 정도는 아님.. 웨이팅으로 얼마를 기다려도 성수동 특성상 일행이 다 오지않으면 못들어감!!
3.0,2023.04.29.,뼈에 살이 많지 않아요 평범한 맛이었어요
1.0,2023.04.02.,"얼마나 맛있길래 줄을 저렇게서서 먹나 궁금해서 먹어봤어요.
음식 나오고 인덕션?에 에러나서 말했더니 테스트해본다고 한참 밥 못먹고, 그래도 안되길래 가스버너로 바꿔주..."
5.0,2023.03.30.,"아름다움
근데웨이팅길게서서먹을맛은아님 ㅎㅎ"
4.0,2023.03.21.,낫배드
4.0,2023.03.11.,"친절은 랜덤 대기는 필수
위생은…바쁘니까 그런지 고춧가루가 여기저기
근데 ..."
4.0,2023.02.20.,솔직히 맛있긴하나 웨이팅까지는 모르겠어요. 그래도 기다려서 간거 후회하지 않아요! 양념장이 맛나요
2.0,2023.02.10.,6천원?정도할때부터 월2ㅡ3회는 꼭 먹던 나름 단골입니다. 오늘부로 안가기로 했습니다. 예전엔 그래도 고기4ㅡ5덩어리중에 퍽퍽한거 하나정도 나올까말까였는데.. 가격은 만원되고 고기양줄고 고기...
3.0,2023.01.17.,"국물맛은 좋은데… 살면서 이렇게 고기 안발라지는건 처음이였다 …!!!
등뼈랑 잡뼈가 섞인 느낌.. 잡뼈 너무 많음 ㅜ
가격은 올라서 보통 만원임. 먹는다면 우거지 추천 ㅋㅋ"
1.0,2022.12.23.,별 하나도 주기가 그런게..  사람은 많던대. 그냥 술마시고 반주하러 오는 듯. 취해서 다들 맛을 모르는건지. 가격이 아주 저렴하지도 않고 살면서 이리 살 없고 살에 간이 안 밴건 처음 먹어 봄.(고기에 살이 없는건 수입산을 써서 그런듯 외국서...
5.0,2022.12.21.,항상 웨이팅이 있는 맛집입니다 점심시간에는 회전율이 빨라 대기할만 하지만 저녁시간엔 반주하시는 분들이 많아 대기시간이 제법 있습니다 웨이팅 싫어하기 때문에 웨이팅하면서까지 음식을 사먹는 편이 아닌데 이 집만큼은 기다려서 먹...
2.0,2022.12.18.,"일단 너무 불친절해서 다시 오고 싶지 않고, 맛도 특별하지 않음."
5.0,2022.12.15.,"전국구 감자탕집,,, 사시사철,, 
대기가득,, 감자국 우거지 가득 추천,..."
1.0,2022.12.13.,사이다랑 컵을 받았는데요 처음에는 문양이나 열에 그을린 모양인줄 알고 제대로 안봤는데 마시다보니 이상해서 보니까 음식물이 딱딱하게 굳어있던거더라구요. 그래서 마침 옆에 직원분 계셔서 말했더니 응대가 어쩌라는듯한 눈빛과 행동?.. 사...
1.0,2022.11.29.,왜 유명한 걸까… 맛도 그저 그런데다가 고기도 뻣뻣하고 푹 끓여진 게 아닌지 뼈 분해하기도 힘들고… 볶음밥은 싱겁고 직원분들은 매우 불친절하고… 아무리 바빠서 그렇다는 거 이해는 하겠다만 계속 쏘아붙이는 말투를 들으니 내가 여길 밥 먹...
1.0,2022.11.09.,위생이 진짜룽….
5.0,2022.10.29.,혼자 가서 우거지곱배기 시켰는데 왠만한 감자탕(소)보다 많았어요. 국물이 식어 데워달라고 하니 가스렌지 주셔서 밥말아서 끊이니 존맛탱!!! 제 개인의견으론 광화문뚝감과 감히 견줄만하네요.
5.0,2022.10.24.,양도 많고 맛있어요
1.0,2022.10.20.,"맛이나 양은 예전과 비슷하게 유지하는같아 좋지만
이젠 주차비를 2천원 별도로 받는다함..
멀리서 생각나서 찾아오는 사람들은 뭘로 생각하는건지..
..."
4.0,2022.10.02.,맛있지만 한시간 기다릴 필요는 없을것같음
4.0,2022.09.28.,"맛은 그냥 감자탕! 근데 확실히 고기에서 잡내 나지 않고 부드럽게 발려져요 수제비가 유명하던데 딱히 맛있는 건 모르겠고 볶음밥은 김가루 그득이라 맛있었습니다
다들 본관에서 웨이팅하시던데 바로 옆 별관은 웨이팅 별로 없어요"
4.0,2022.09.22.,"대기 있어도 가게가 넓어서 금방 빠짐
오늘 응대해주신 직원 두 분 모두 친절하셨는데 후기에 불친절하다는 말이 다수라 조금 놀랐다
맛은 적당히 깔끔하고 괜찮음"
2.0,2022.09.11.,"감자탕 소짜리구용
성인2명이서 수제비까지 해서 한끼 잘 먹었어요!
웨이팅도 있었지만 금방금방 빠져서 15-20분? 정도 기다리고 들어갔어요!..."
5.0,2022.09.07.,"가게 확장 전부터 거의 20년 단골입니다. 가격도 저렴하고 양도 푸짐하고 손수제비사리, 볶음밥 필수에요!! 손님이 많아서 좀 시끄러운건 안비밀.. 새벽 이모들은 다들 친절했어요"
5.0,2022.08.30.,"항상 이모님들께서 바쁘실때가도 항상 웃어주시고, 청결부분에선 아쉬울 수 있어도 
정말 맛있습니다. 막 와 뭐야~ 할정도로 충격적인 맛은 ..."
1.0,2022.08.15.,"별점이 낮길래 고민됐는데 그래도 가봤음
잘 익은 감자탕은 고기가 예쁘게 발라지고 맛이 부드러운데
여기는 고기가 떨어지지..."
4.0,2022.08.14.,"시장통같이 복잡하고
웨이팅하는 방식도 번거롭네요ㅠㅠ
직원분들이 너무 바쁘셔서
불친절하시..."
3.0,2026.07.21.,6년 전 기준 난 맛있었음. 그때도 인기는 많았지만 지금도 여전한가보네. 웨이팅 하면서까지 먹을 정도는 아니긴 했음. 실제로 그 이후 재방문 없었으니까.
1.0,2026.06.25.,"그냥 동네 감자탕집이 더 좋을듯합니다..
매장에 벌레 날아다니고 음식 맛도 없었어요....
고기는 퍽퍽 국물도 짜고.."
1.0,2026.06.24.,가져다주는데 손가락이 담군상태로 내주는건 뭔 위생임 더러워ㅠ뒤지겠네
1.0,2026.06.18.,"소문 왜난거임 연개소문임
맛도 분위기도 의문 
양도 가성..."
3.0,2026.06.11.,무난 해요..
1.0,2026.05.25.,한국에서 나고 자라 33년 인생에서 제일 맛없는 감자탕
3.0,2026.05.18.,"평이 낮지만 본인 기준에서는 먹을만한 곳
특유의 감자탕 집 분위기가 술이 잘 들어감
늦게까지 해서 좋음"
4.0,2026.05.09.,괜찮아요.
1.0,2026.04.21.,"별관 절대 가지 말것
손님하고 기 싸움 열심히 하시고, 맛도 그냥 동네 감자탕집 수준...."
4.0,2026.04.15.,"평일 저녁에 웨이팅 없이 들어가서 먹으면 별 5개
웨이팅 3시간이상? 별 3개입니다 ㅎㅎ
맛이 없진 않지만..."
